strain_id,accession,r1,r2
L.2112,SRR8173010,,
L.2112,SRR8172996,,
L.2112,SRR8173088,,
L.2278,SRR8172969,,
L.2278,SRR8172929,,
L.2278,SRR8172985,,
L.S-23,SRR8172963,,
L.S-23,SRR8172987,,
L.S-23,SRR8172927,,
L.WLP820,SRR8172935,,
L.WLP820,SRR8172989,,
L.WLP820,SRR8172965,,
W.WLP070,SRR8172991,,
W.WLP070,SRR8172971,,
W.WLP070,SRR8173014,,
WLP862-Borneman,SRR2968046,,
YMD1874,SRR8172939,,
BE103,SRR8799642,,
BE104,SRR8799680,,
BE106,SRR8799685,,
BE110,SRR8799646,,
BE111,SRR8799652,,
BE112,SRR8799686,,
BE113,SRR8799647,,
BE114,SRR8799692,,
BE117,SRR8799694,,
BE118,SRR8799654,,
BE119,SRR8799648,,
BE120,SRR8799683,,
BE121,SRR8799682,,
BE122,SRR8799666,,
BE123,SRR8799653,,
BE124,SRR8799631,,
BE125,SRR8799695,,
BE126,SRR8799649,,
BE127,SRR8799645,,
BE128,SRR8799681,,
BE129,SRR8799684,,
BE130,SRR8799676,,
BE132,SRR8799687,,
BE133,SRR8799691,,
BE134-Gallone,SRR8799693,,
BE135,SRR8799659,,
BE136,SRR8799643,,
BE137,SRR8799662,,
BE138,SRR8799663,,
BE139,SRR8799634,,
BE140,SRR8799640,,
BE141,SRR8799671,,
BE142,SRR8799667,,
BE143,SRR8799637,,
CBS1174,DRR040649,,
CBS1260,SRR10047341,,
CBS1260,SRR10047352,,
CBS1260,SRR10047363,,
CBS1260,SRR10047374,,
CBS1260,SRR10047385,,
CBS1260,SRR10047396,,
CBS1483,DRR040656,,
CBS1483-Broek,SRR1649179,,
CBS1483-Broek,SRR1649180,,
CBS1483-Broek,SRR1649181,,
CBS1483-Broek,SRR1649182,,
CBS1483-Salazar,SRR8648839,,
CBS1484,DRR040657,,
CBS1486,SRR10047274,,
CBS1486,SRR10047285,,
CBS1486,SRR10047296,,
CBS1486,SRR10047307,,
CBS1486,SRR10047319,,
CBS1486,SRR10047330,,
CBS1503,DRR040637,,
CBS1503,DRR040638,,
CBS1503,DRR040639,,
CBS1503,DRR040640,,
CBS1513,DRR040641,,
CBS1513,DRR040642,,
CBS1513,DRR040643,,
CBS1513,DRR040644,,
CBS1538-GarciaCaro,SRR18163228,,
CBS1538-Langdon,SRR10047219,,
CBS1538-Langdon,SRR10047230,,
CBS1538-Langdon,SRR10047241,,
CBS1538-Langdon,SRR10047252,,
CBS1538-Langdon,SRR10047263,,
CBS1538-Okuno,DRR040645,,
CBS1538-Okuno,DRR040646,,
CBS1538-Okuno,DRR040647,,
CBS1538-Okuno,DRR040648,,
CBS2156,DRR040658,,
CBS2440,DRR040650,,
CBS5832,DRR040659,,
CBS5832,DRR040660,,
CIBART79,SRR10047163,,
CIBART79,SRR10047174,,
CIBART79,SRR10047185,,
CIBART79,SRR10047196,,
CIBART79,SRR10047208,,
Cit-KP,SRR10047152,,
DBVPG6283,SRR10046995,,
DBVPG6283,SRR10046996,,
DBVPG6283,SRR10046997,,
DBVPG6283,SRR10046998,,
DBVPG6283,SRR10047000,,
DBVPG6283,SRR10047001,,
DBVPG6283,SRR10047008,,
FM1203,SRR10046975,,
FM1203,SRR10046976,,
HeinekenA,SRR8648841,,
NRRL_Y-12693-Langdon,SRR10046945,,
NRRL_Y-12693-Langdon,SRR10046946,,
NRRL_Y-12693-Langdon,SRR10046947,,
NRRL_Y-12693-Langdon,SRR10046948,,
NRRL_Y-48766,SRR10047362,,
SafLager-023,SRR10047313,,
SP012,SRR8799644,,
TUM26,SRR8799690,,
UDeb-LY0002,SRR31642013,,
